Nom_Produit,Marque,Categorie,Energie_kJ,Sucres_g,Graisses_Sat_g,Sel_g,Proteines_g,Fibres_g,Fruits_Legumes_Pct,NutriScore_Score,NutriScore_Lettre,Points_N,Points_P,GreenScore_Lettre,GreenScore_Score,ELECTRE_Pess_0.6,ELECTRE_Opt_0.6,ELECTRE_Pess_0.7,ELECTRE_Opt_0.7,RF_Pred
Concentré de tomates Aicha,Aicha,vegetables,132.0,2.43,0.0,0.27,1.24,0.811,0.0,1,B,1,0,C,59,C,C,C,B,A
Aicha Tomato Paste,Aicha,vegetables,496.0,9.0,0.0,0.5,4.6,3.0,0.0,3,C,4,1,C,46,C,C,C,B,B
Raw kimchi,Vadasz,vegetables,63.0,0.0,0.1,2.065,1.1,1.8,0.0,10,C,10,0,A,88,A,A,B,A,A
Beurre de cacahuètes,Maribel,vegetables,2860.0,3.9,12.0,0.03,30.4,9.2,0.0,14,D,19,5,D,34,C,C,D,B,D
Carottes rapees citron dnp 320g,Bonduelle,vegetables,301.0,4.5,0.3,0.71,1.0,3.0,86.0,-1,A,4,5,A,79,B,B,C,B,
Aubergines cuisinées à la Provençal,Cassegrain,vegetables,344.0,5.6,0.6,0.76,1.2,2.2,81.0,0,A,5,5,B,73,B,B,C,B,C
Solis,Nestle nutrition,vegetables,284.0,6.0,0.4,1.0,1.2,0.6,0.0,6,C,6,0,A,77,C,C,D,B,C
Carottes râpées à la ciboulette,Saladinettes,vegetables,331.0,5.0,0.4,0.865,1.1,28.0,0.0,0,A,5,5,A,76,B,B,C,B,C
Haricots Verts extrafins 12,Cassegrain,vegetables,82.0,1.3,0.1,0.79,1.4,2.4,100.0,-2,A,3,5,A,77,B,B,B,B,A
Italian Chopped Tomatoes in tomato juice,by sainsbury's,vegetables,101.0,3.5,0.1,0.07,1.2,0.9,0.0,1,B,1,0,A,89,B,B,C,B,A
Oven Baked Sweet Potato Fries,Strong Roots,vegetables,805.0,16.2,0.625,0.287,2.75,5.38,0.0,3,C,7,4,A,86,C,C,C,B,C
